library,title,year,imdb_id,imdb_rating,imdb_votes,rt_score,plex_rating,file,decision,reason,misidentified_hint
Animación 3D,Astro Boy,2009,,,,,5.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Astro Boy (2009).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Atrapa la bandera,2015,,,,,4.6,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Atrapa La Bandera (2015).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Ballerina,2016,,,,,5.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Ballerina.(2016).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Bee Movie,2007,,,,,,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/Bee Movie (2007).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,"Bichos, una aventura en miniatura",1998,,,,,9.2,"/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Bichos, Una Aventura En Miniatura (1998).mkv",UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Big Hero 6,2014,,,,,9.0,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Big Hero 6 (2014).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Bolt,2008,,,,,9.0,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Bolt (2008).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Buscando a Nemo,2003,,,,,9.9,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Buscando A Nemo (2003).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Buscando a Dory,2016,,,,,9.4,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Finding Dory (2016).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Campanilla,2008,,,,,9.0,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Campanilla.mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Campanilla y el tesoro perdido,2009,,,,,10.0,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Campanilla y el tesoro perdido (2009).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Campanilla y el gran rescate,2010,,,,,7.0,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Campanilla y el gran rescate (2010).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
